kanji,kname,completed
一,1,0
何,nani,0
七,7,0
飼,shi-ka(u),0
示,ji-shime(su),0
述,jutsu-no(beru),0
序,jo(ban),0
織,(so)shiki,0
税,zei(kin),0
舌,zetsu-shita,0
銭,zeni,0
祖,so(sen),0
測,soku-haka(ru),0
八,8,0
属,(sho)zoku,0
損,son(gai),0
退,shirizo(ku),0
銅,dou(zou),0
徳,(dou)toku,0
犯,han(nin),0
版,han(ga),0
俵,tawara,0
婦,(fuu)fu,0
富,tomi,0
九,9,0
武,bu(ryoku),0
複,fuku(suu),0
墓,haka,0
報,(yo)hou,0
防,fuse(gu),0
貿,bou(ekifuu),0
務,(nin)mu,0
綿,men-wata,0
余,yo(keina),0
略,(sen)ryaku,0
十,10,0
領,(daitou)ryou,0
域,(chi)iki,0
宇,u(jicha),0
沿,en-so(u),0
灰,kai-hai,0
閣,kaku(ryou),0
割,wa(ru),0
株,kabu(shiki),0
干,kan-ho(su),0
巻,kan-ma(ku),0
待,ma(tsu),0
看,kan(gofu),0
危,abu(nai),0
揮,(shi)ki(bou),0
貴,ki-touto(i),0
郷,(ko)kyou,0
警,kei(satsu),0
穴,ana,0
絹,kinu,0
憲,(gou)ken(teki),0
源,minamoto,0
堂,(shoku)dou,0
己,onore,0
后,(koutai)gou,0
孝,(oya)kou(kou),0
紅,beni,0
鋼,hagane,0
刻,kiza(mu),0
穀,koku(motsu),0
砂,suna,0
裁,sai-saba(ku),0
策,(zengo)saku,0
話,wa-hana(su),0
蚕,kaiko,0
至,shi-ita(ru),0
姿,sugata,0
視,shi(ya),0
磁,ji(ryoku),0
樹,ju(moku),0
宗,shuu(kyou),0
就,shuu-tsu(ku),0
衆,(min)shuu,0
縦,tate,0
開,kai-hira(ku),0
縮,chiji(mu),0
処,sho(chi),0
署,(shoubou)sho,0
諸,sho(koku),0
傷,shou-kizu,0
蒸,mu(su),0
針,shin-hari,0
仁,(kyou)nin,0
垂,sui-ta(reru),0
寸,sun,0
閉,hei-toji(ru),0
盛,saka(nna),0
誠,sei(jitsuna),0
宣,sen(den),0
泉,izumi,0
染,sen-so(meru),0
善,zen-yo(i),0
奏,kana(deru),0
装,(hou)sou(shi),0
層,(kou)sou(biru),0
操,ayatsu(ru),0
友,yuu-tomo,0
臓,zou(motsu),0
誕,tan(joubi),0
暖,dan-atata(maru),0
宙,chuu(gaeri),0
庁,(keishi)chou,0
頂,chou-itada(ku),0
潮,chou-shio,0
賃,(ya)chin,0
討,tou-u(tsu),0
党,(minshu)tou,0
上,jou-ue,0
達,tatsu-tachi,0
糖,(budou)tou,0
納,nou-osa(meru),0
脳,(zu)nou,0
拝,oga(mu),0
肺,hai(katsuryou),0
俳,hai(ku),0
班,han(chou),0
秘,hi(mitsu),0
腹,fuku-hara,0
奮,fun(sensuru),0
手,te,0
陛,(tennou)hei(ka),0
補,ogina(u),0
宝,takara,0
棒,(ai)bou,0
幕,(uchi)maku,0
密,mitsu(do),0
盟,(ka)mei(suru),0
模,mo(you),0
郵,yuu(bin),0
幼,osana(i),0
紙,shi-kami,0
翌,yoku(jitsu),0
卵,tamago,0
覧,(ten)ran(kai),0
裏,ri-ura,0
臨,rin-nozo(mu),0
朗,hoga(rakana),0
依,i(raisuru),0
違,i-chiga(u),0
鋭,ei-surudo(i),0
煙,kemu(i),0
書,sho-ka(ku),0
汚,yogo(su),0
押,ou-o(saeru),0
欧,(sei)ou,0
菓,(o)ka(shi),0
靴,kutsu,0
掛,(mi)ka(ke),0
汗,ase,0
缶,kan(zume),0
患,kan-wazura(u),0
幾,iku(tsu),0
秋,aki,0
詰,kitsu-tsu(meru),0
叫,sake(bu),0
況,(kin)kyou,0
挟,hasa(maru),0
偶,guu(zen),0
隅,guu-sumi,0
掘,kutsu-ho(ru),0
傾,katamu(ku),0
軒,noki,0
枯,ka(reha),0
山,yama,0
雇,yato(u),0
更,kou-sara(ni),0
肯,kou(teiteki),0
荒,a(reru),0
郊,kou(gaijuutaku),0
香,kou-kao(ri),0
硬,kou-kata(i),0
込,(nori)ko(mu),0
歳,sai(getsu),0
咲,(gobu)za(ki),0
雪,setsu-yuki,0
脂,shi-abura,0
湿,shitsu-shime(ru),0
舟,shuu-fune,0
柔,juu-yawa(rakai),0
緒,sho-o,0
召,me(su),0
床,yuka,0
昇,shou-nobo(ru),0
畳,tatami,0
触,shoku-sawa(ru),0
雨,u-ame,0
伸,shin-no(biru),0
吹,sui-fu(ku),0
姓,(dou)sei(doumei),0
隻,seki(gan),0
跡,seki-ato,0
籍,(koku)seki,0
占,urana(u),0
双,futa(go),0
捜,sou-saga(su),0
掃,sou-ha(ku),0
当,a(taru),0
燥,(mumikan)sou,0
憎,niku(mu),0
贈,oku(rimono),0
袋,fukuro,0
替,(ryou)gae,0
濯,(sen)taku(ki),0
畜,(boku)chiku,0
駐,chuu(rinjou),0
超,chou-ko(eru),0
沈,shizu(mu),0
飲,in-no(mu),0
珍,mezura(shii),0
泥,doro,0
滴,teki-shizuku,0
殿,tono,0
塗,nu(ru),0
逃,ni(geru),0
塔,(kansei)tou,0
筒,tsutsu,0
鈍,nibu(i),0
軟,nan-yawa(rakai),0
下,ge-shita,0
知,shi(ru),0
悩,naya(mu),0
濃,nou-ko(i),0
泊,haku-to(maru),0
薄,usu(meru),0
爆,baku(dan),0
肌,hada(gi),0
髪,hatsu-kami,0
販,han(baisuru),0
瓶,bin(zume),0
浮,u(kabu),0
前,mae,0
膚,(hi)fu(byou),0
舞,ma(u),0
封,fuu(sho),0
幅,fuku-haba,0
沸,futsu-wa(ku),0
捕,ho-to(raeru),0
抱,kaka(eru),0
帽,(beree)bou,0
磨,ma-miga(ku),0
埋,u(maru),0
後,ushi(ro),0
溶,you-to(keru),0
腰,koshi,0
踊,you-odo(ru),0
粒,tsubu,0
了,(kan)ryou(suru),0
